Sat Nov 30 13:49:01 2024    profile_output.prof

         173992666 function calls (171435864 primitive calls) in 60.404 seconds

   Ordered by: cumulative time
   List reduced from 1534 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
52110/47926    0.047    0.000    1.992    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:1321(_create_direct_connection)
13015/11530    0.014    0.000    1.962    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:877(close)
13017/11530    0.014    0.000    1.947    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:438(close)
    47076    0.048    0.000    1.928    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:775(_do_read__copied)
    65594    0.051    0.000    1.759    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:1505(iterrows)
    14244    0.050    0.000    1.735    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client_reqrep.py:690(send)
    57502    0.175    0.000    1.722    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:317(apply)
    78972    0.255    0.000    1.707    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:475(__new__)
    14244    0.021    0.000    1.648    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/http_writer.py:139(write_headers)
39083/37565    0.039    0.000    1.611    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:1096(_wrap_create_connection)
